id,category,pettype,name,description,price,stock
1a79a4d6-7e3b-4f2b-8c3d-1f4e5d6c7b8a,Food,Dog,Buddy,"Premium dog food for all breeds",49.99,100
2b8c9d0e-1f2a-4b3c-9d0e-2f3a4b5c6d7e,Toy,Cat,Whiskers,"Interactive cat toy with feathers",19.99,200
3c9d0e1f-2a3b-4c5d-6e7f-3a4b5c6d7e8f,Accessory,Bird,Chirpy,"Colorful bird cage with toys",89.99,50
4d0e1f2a-3b4c-5d6e-7f8a-4b5c6d7e8f9g,Grooming,Dog,Max,"Dog grooming kit with shampoo",29.99,150
5e1f2a3b-4c5d-6e7f-8a9b-5c6d7e8f9g0h,Health,Cat,Luna,"Vitamin supplements for cats",24.99,120
6f2a3b4c-5d6e-7f8a-9b0c-6d7e8f9g0h1i,Toy,Dog,Rex,"Durable chew toy for dogs",14.99,300
7g3b4c5d-6e7f-8a9b-0c1d-7e8f9g0h1i2j,Food,Bird,Tweety,"Bird seed mix for small birds",9.99,250
8h4c5d6e-7f8a-9b0c-1d2e-8f9g0h1i2j3k,Accessory,Cat,Shadow,"Stylish cat collar with bell",12.99,180
9i5d6e7f-8a9b-0c1d-2e3f-9g0h1i2j3k4l,Grooming,Bird,Sunny,"Bird grooming spray",15.99,80
0j6e7f8a-9b0c-1d2e-3f4g-0h1i2j3k4l5m,Health,Dog,Bella,"Joint health supplements for dogs",34.99,90
